Accession,Teo_Plot,Race,Species,Altitude,Latitude,Longitude,Country,State,County,location,Collection_date
JSG_RMM_LCL_536,760,Mesa_Central,Zea mays ssp. mexicana,2102,19.6861,100.6331,México,Michoacán,Hidalgo,K152_Cd_Hidalgo_Morelia_San_Lucas_y_El_Porvenir,2003
JSG_LCL_565,761,Mesa_Central,Zea mays ssp. mexicana,1848,19.9561,101.3169,México,Michoacán,Chucándiro,San_Cristobal_K0.5_a_Chucándiro,2004
JSG_LCL_JGRF_586,762,Mesa_Central,Zea mays ssp. mexicana,2023,20.14,101.0731,México,Guanajuato,Yuriria,El_Salteador_K9.5_a_El_Timbinal,2005
JSG_427,763,Mesa_Central,Zea mays ssp. parviglumis,1574,20.1531,102.3639,México,Michoacán,Ixtlán,El_Salitre,2002
JSG_Y_RMM_438,775,Mesa_Central,Zea mays ssp. mexicana,1910,20.075,102.06,México,Michoacán,Churintzio,Changuitiro_1km_a_Purépero,2002
JSG_Y_RMM_440,776,Mesa_Central,Zea mays ssp. mexicana,1775,20.1031,101.9469,México,Michoacán,Penjamillo,Penjamillo_de_Degollado_(Carr._MICH_27),2002
JSG_Y_RMM_444,777,Mesa_Central,Zea mays ssp. mexicana,2186,20.035,101.4689,México,Michoacán,Puruándiro,Batuecas_K1_a_Cuitzeo_Carr_MICH_28,2002
JSG_426,778,Mesa_Central,Zea mays ssp. mexicana,1940,20.1569,102.06,México,Michoacán,Churintzio,Cerro_Churintzio,2002
JSG_LCL_566,779,Mesa_Central,Zea mays ssp. mexicana,2055,20.0769,101.9761,México,Michoacán,Churintzio,Km_334.5_Carr._15D_Autopista_Morelia-Guadalajara,2004
JACV_T_018,780,Mesa_Central,Zea mays ssp. mexicana,2012,19.9269,101.7169,México,Michoacán,Jiménez,Villa_Jiménez-La_Estancia,2007
JSG_LCL_689,786,Mesa_Central,Zea mays ssp. mexicana,1550,20.4031,102.9039,México,Jalisco,Zapotlán_del_Rey,Km_2_Poncitlán-Ahuatlán,2007
JSG_Y_LOS_75,790,Mesa_Central,Zea mays ssp. mexicana,1700,20.1139,102.8961,México,Michoacán,Cojumatlán_de_Régules,5_7_km_SW_Cojumatlán,1984
JSG_SRV_604,794,Nabogame,Zea mays ssp. mexicana,1920,26.2281,106.9619,México,Chihuahua,Guadalupe_y_Calvo,Arroyo_Tejamanil_ca_La_Rinconada,2007
JSG_SRV_606,795,Nabogame,Zea mays ssp. mexicana,1951,26.2231,106.9319,México,Chihuahua,Guadalupe_y_Calvo,Tarahumares,2007
JSG_RMM_LCL_551,732,Zea_diploperennis,Zea diploperennis,1870,19.5911,104.2781,México,Jalisco,Cuautitlán_de_García_Barragán,Las_Joyas_Las_Playas,2003
CIM10003,733,Zea_diploperennis,Zea diploperennis,2250,19.5331,104.2169,México,Jalisco,Cuautitlán_de_García_Barragán,San_Miguel_Cuzalapa,1978
JLVTKV_717,791,Zea_diploperennis-Na,Zea diploperennis,1410,22.8511,105.1219,México,Nayarit,Huajicori,SA_Milpillas_El_Rincón_Arroyo_Charco_Verde,2010
JLVTKV_719,792,Zea_diploperennis-Na,Zea diploperennis,1392,22.8569,105.1069,México,Nayarit,Huajicori,SA_Milpillas_Tateposco_Arroyo_La_Mesa,2010
JLVTKV_720,793,Zea_diploperennis-Na,Zea diploperennis,1393,22.87,105.105,México,Nayarit,Huajicori,SA_Milpillas_La_Embocada_Arroyo_San_Andrés,2010
JSG_593,701,Zea_luxurians-SFU,Zea luxurians,83,17.9439,96.4619,México,Oaxaca,San_Felipe_Usila,Arroyo_Tambor,2006
FAC_P_87,702,Zea_luxurians-SFU,Zea luxurians,80,17.935,96.4681,México,Oaxaca,San_Felipe_Usila,Arroyo_Tambor,2007
CIM13451,703,Zea_nicaraguensis,Zea nicaraguensis,15,12.8739,86.9139,México,Chinandega,Villanueva,5.3_km_E_Apacunca_(3km_S_Cayanlipe)_,1993
JSG_LCL_694,747,Zea_perennis,Zea perennis,2140,19.635,103.58,México,Jalisco,San_Gabriel,Piedra_Ancha,2008
JSG_LCL_695,748,Zea_perennis,Zea perennis,2174,19.635,103.5669,México,Jalisco,Zapotlán_el_Grande,Loma_de_La_Mesa,2008
CIM29379,716,Zea_perennis-Ur,Zea perennis,1380,19.4181,101.9111,México,Michoacán,Ziracuaretiro,El_Fresno,2009
JSG_LCL_JRP_MMR_712,717,Zea_perennis-Ur,Zea perennis,1385,19.4169,101.9381,México,Michoacán,Ziracuaretiro,El_Fresno-Autopista_Morelia-Uruapan_Km379,2010
